accuracy,n_correct,n_total,f1,sensitivity,specificity,auc,tp,tn,fp,fn,proba_min,proba_max,proba_mean,proba_std,seed,total_time_s
0.4166666666666667,10,24,0.3636363636363636,0.3333333333333333,0.5,0.3819444444444444,4,6,6,8,0.012929806485772133,0.9196289777755737,0.4702240862728407,0.26964865562957496,42,44.50483202934265
0.4166666666666667,10,24,0.3,0.25,0.5833333333333334,0.5069444444444444,3,7,5,9,0.008930785581469536,0.9630342721939087,0.42619780303599936,0.25486887227343813,1042,42.19123387336731
0.4583333333333333,11,24,0.48000000000000004,0.5,0.4166666666666667,0.5416666666666666,6,5,7,6,0.00419215951114893,0.9622277021408081,0.5183620807171488,0.299849764686964,2042,43.523436069488525
0.25,6,24,0.25,0.25,0.25,0.3194444444444444,3,3,9,9,0.037248630076646805,0.9834536910057068,0.4783685685445865,0.2714766260128725,3042,43.86767888069153
0.4583333333333333,11,24,0.43478260869565216,0.4166666666666667,0.5,0.5,5,6,6,7,0.01547455694526434,0.9577810764312744,0.46860950676879537,0.25973767032204287,4042,42.4157772064209
