accuracy,n_correct,n_total,f1,sensitivity,specificity,auc,tp,tn,fp,fn,proba_min,proba_max,proba_mean,proba_std,seed,total_time_s
0.7083333333333334,17,24,0.7586206896551724,0.9166666666666666,0.5,0.8333333333333334,11,6,6,1,0.15780510008335114,0.8669271469116211,0.5929198774198691,0.1838278262056174,42,385.92612504959106
0.7916666666666666,19,24,0.8148148148148148,0.9166666666666666,0.6666666666666666,0.8333333333333333,11,8,4,1,0.12290902435779572,0.8282771706581116,0.5730544490118822,0.17833022757379063,1042,382.06503105163574
0.8333333333333334,20,24,0.8571428571428571,1.0,0.6666666666666666,0.8611111111111112,12,8,4,0,0.16555911302566528,0.8647292256355286,0.5699597559869289,0.18688060335879528,2042,384.4116780757904
0.8333333333333334,20,24,0.8571428571428571,1.0,0.6666666666666666,0.8333333333333334,12,8,4,0,0.184443861246109,0.8747342228889465,0.5531503607829412,0.17580649304506113,3042,381.5745458602905
0.8333333333333334,20,24,0.8461538461538461,0.9166666666666666,0.75,0.8333333333333334,11,9,3,1,0.16646185517311096,0.8752935528755188,0.552243052671353,0.18355758460925445,4042,383.8581042289734
