model,layer,patch,ctrl_mean,ctrl_std,adhd_mean,adhd_std,n_seeds
ExpB,0,0,0.07675199210643768,0.015047533437609673,0.06733552366495132,0.01526437234133482,5
ExpB,0,1,0.07226578891277313,0.009850282222032547,0.06265904754400253,0.008857103995978832,5
ExpB,0,2,0.07156692445278168,0.006234452594071627,0.061298809945583344,0.004986539017409086,5
ExpB,0,3,0.06639890372753143,0.004436145536601543,0.05656665563583374,0.0026153617072850466,5
ExpB,0,4,0.05185266584157944,0.007663854863494635,0.04677468165755272,0.003199912840500474,5
ExpB,0,5,0.04496489092707634,0.0038932920433580875,0.04593130201101303,0.0021830801852047443,5
ExpB,0,6,0.04005898907780647,0.004954407922923565,0.043877072632312775,0.005141076631844044,5
ExpB,0,7,0.034501709043979645,0.0033214036375284195,0.03750753030180931,0.0031428660731762648,5
ExpB,0,8,0.03504018858075142,0.0018650165293365717,0.036190956830978394,0.0020369223784655333,5
ExpB,0,9,0.032594986259937286,0.0012318720109760761,0.03375084698200226,0.0016193678602576256,5
ExpB,0,10,0.03037615679204464,0.000902572413906455,0.0325104221701622,0.0012132106348872185,5
ExpB,0,11,0.031171077862381935,0.004246541764587164,0.032824963331222534,0.003033272922039032,5
ExpB,0,12,0.032782819122076035,0.002922808052971959,0.03410099074244499,0.003059269627556205,5
ExpB,0,13,0.0322127565741539,0.003378290217369795,0.032870419323444366,0.0031104811932891607,5
ExpB,0,14,0.029091179370880127,0.0009204144007526338,0.03156828135251999,0.001275518094189465,5
ExpB,0,15,0.029828142374753952,0.003203167812898755,0.03222616761922836,0.0029209046624600887,5
ExpB,0,16,0.03078773058950901,0.0017501607071608305,0.033001430332660675,0.0019176381174474955,5
ExpB,0,17,0.030150974169373512,0.0018049414502456784,0.03284658119082451,0.002004883484914899,5
ExpB,0,18,0.03243950381875038,0.0015387876192107797,0.03441086411476135,0.0011785962851718068,5
ExpB,0,19,0.033123843371868134,0.002703063888475299,0.035133522003889084,0.0024474631063640118,5
