accuracy,n_correct,n_total,f1,sensitivity,specificity,auc,tp,tn,fp,fn,proba_min,proba_max,proba_mean,proba_std,seed,total_time_s
0.4583333333333333,11,24,0.48000000000000004,0.5,0.4166666666666667,0.41666666666666663,6,5,7,6,0.09695633500814438,0.8980685472488403,0.5464587171251575,0.19662154216162642,42,45.955918073654175
0.4583333333333333,11,24,0.43478260869565216,0.4166666666666667,0.5,0.45138888888888884,5,6,6,7,0.2187284678220749,0.9576966762542725,0.4868943312515815,0.14072576555583022,1042,45.34509992599487
0.4166666666666667,10,24,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.375,5,5,7,7,0.11315174400806427,0.7559998631477356,0.4815464944889148,0.15622941884428407,2042,45.18540716171265
0.2916666666666667,7,24,0.2608695652173913,0.25,0.3333333333333333,0.2916666666666667,3,4,8,9,0.21633175015449524,0.9235477447509766,0.49649930745363235,0.1626686219678389,3042,45.10899019241333
0.375,9,24,0.4444444444444445,0.5,0.25,0.43750000000000006,6,3,9,6,0.1998472362756729,0.737012505531311,0.4907807608445485,0.1389528862917139,4042,44.9804322719574
